epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,2035.39,0.2933,0.19622,0.78089,0.85619,0.80648,0.83019,0.62092,0.92562,0.75771,1.00776,0.000657963,0.000657963,0.000657963
142,2048.39,0.29021,0.19157,0.78138,0.8837,0.8312,0.86929,0.65149,0.88262,0.72611,0.95867,0.000653732,0.000653732,0.000653732
143,2063.43,0.29797,0.19635,0.78093,0.90356,0.82947,0.85271,0.63922,0.89897,0.73255,0.96698,0.000649488,0.000649488,0.000649488
144,2078.67,0.2864,0.19258,0.78019,0.89956,0.83558,0.87649,0.6539,0.90061,0.7201,0.97315,0.000645233,0.000645233,0.000645233
145,2091.52,0.29426,0.19376,0.78341,0.87548,0.83433,0.86365,0.64887,0.91818,0.73322,0.97399,0.000640966,0.000640966,0.000640966
146,2106.06,0.2941,0.19353,0.77739,0.89323,0.83816,0.86804,0.65502,0.89101,0.70191,0.98,0.000636688,0.000636688,0.000636688
147,2121.26,0.2887,0.19072,0.78284,0.88473,0.83819,0.8649,0.64819,0.88934,0.71371,0.99407,0.0006324,0.0006324,0.0006324
148,2135.41,0.28902,0.19048,0.77878,0.88233,0.8367,0.85855,0.65052,0.88314,0.71571,0.98917,0.000628101,0.000628101,0.000628101
149,2148.35,0.27754,0.18529,0.77616,0.88625,0.84004,0.86394,0.65385,0.88941,0.68676,0.98755,0.000623793,0.000623793,0.000623793
150,2163.4,0.28346,0.18706,0.7798,0.85177,0.82839,0.84476,0.63711,0.88606,0.70362,0.98374,0.000619475,0.000619475,0.000619475
151,2179.16,0.28212,0.1862,0.77884,0.87775,0.82978,0.86326,0.64901,0.90582,0.6909,0.98419,0.000615148,0.000615148,0.000615148
152,2192.02,0.27114,0.18114,0.77448,0.89033,0.81914,0.87214,0.66944,0.88262,0.68999,0.98399,0.000610812,0.000610812,0.000610812
153,2205.58,0.27902,0.18432,0.78035,0.8806,0.83706,0.86867,0.65971,0.8883,0.74535,0.9694,0.000606467,0.000606467,0.000606467
154,2221.51,0.28593,0.18697,0.7816,0.86113,0.81985,0.86349,0.64915,0.8602,0.73923,0.95961,0.000602114,0.000602114,0.000602114
155,2236.95,0.28184,0.18221,0.78412,0.89003,0.83864,0.87219,0.66624,0.88334,0.68373,0.97244,0.000597754,0.000597754,0.000597754
156,2249.92,0.28391,0.18435,0.78188,0.88103,0.83105,0.86511,0.65321,0.88901,0.70047,0.95795,0.000593386,0.000593386,0.000593386
157,2264.61,0.2815,0.18533,0.77675,0.88638,0.8409,0.86931,0.65855,0.87234,0.68027,0.98305,0.00058901,0.00058901,0.00058901
158,2279.74,0.28009,0.18425,0.77931,0.89923,0.83292,0.85413,0.64386,0.86977,0.70441,0.99579,0.000584628,0.000584628,0.000584628
159,2293.95,0.28963,0.19192,0.78092,0.8854,0.82376,0.83926,0.61209,0.87486,0.75513,0.986,0.00058024,0.00058024,0.00058024
160,2307,0.28346,0.18914,0.77766,0.88962,0.83186,0.84897,0.62718,0.88801,0.73736,0.9979,0.000575846,0.000575846,0.000575846
161,2321.44,0.28607,0.18977,0.78131,0.89106,0.83667,0.84471,0.62153,0.88263,0.73827,0.99267,0.000571445,0.000571445,0.000571445
